n calls (143671010 primitive calls) in 165.255 seconds

Ordered by: cumulative time

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1    0.000    0.000    0.138    0.138 parallel.py:3(<module>)
103555    0.098    0.000    0.137    0.000 wikiapi.py:217(parents)
354571    0.137    0.000    0.137    0.000 {built-in method getattr}
1    0.000    0.000    0.137    0.137 basic.py:7(<module>)
3    0.000    0.000    0.132    0.044 __init__.py:8(<module>)
283    0.002    0.000    0.129    0.000 sre_compile.py:460(compile)
242226/242127    0.079    0.000    0.129    0.000 search_space.py:81(state)
86    0.003    0.000    0.128    0.001 _distn_infrastructure.py:1395(__init__)
255    0.000    0.000    0.127    0.000 re.py:217(compile)
103555    0.090    0.000    0.127    0.000 wikiapi.py:225(children)
68158    0.126    0.000    0.126    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
68150    0.046    0.000    0.124    0.000 util.py:133(without_stopwords)
10    0.000    0.000    0.123    0.012 util.py:196(weighted_f1)
1    0.000    0.000    0.123    0.123 pkg_resources.py:15(<module>)
3    0.000    0.000    0.119    0.040 base.py:1(<module>)
68150    0.118    0.000    0.118    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
1    0.000    0.000    0.118    0.118 api.py:13(<module>)
1    0.000    0.000    0.116    0.116 dates.py:111(<module>)
486992    0.115    0.000    0.115    0.000 {method 'get' of 'dict' objects}
99    0.004    0.000    0.114    0.001 learning_search.py:429(report_iteration)
1    0.000    0.000    0.112    0.112 metrics.py:9(<module>)
157407    0.103    0.000    0.109    0.000 {built-in method isinstance}
34075    0.062    0.000    0.106    0.000 util.py:129(jaccard_sim)
1    0.000    0.000    0.106    0.106 _multiprocessing_helpers.py:5(<module>)
34588    0.075    0.000    0.104    0.000 category_explorer.py:247(normalized_graph_size)
33623    0.044    0.000    0.103    0.000 search.py:84(_trim_to_size)
1    0.000    0.000    0.102    0.102 text.py:13(<module>)
1    0.000    0.000    0.102    0.102 period.py:2(<module>)
68450    0.042    0.000    0.100    0.000 posixpath.py:38(_get_sep)
2    0.000    0.000    0.097    0.048 util.py:7(<module>)
1    0.000    0.000    0.097    0.097 tempfile.py:16(<module>)
2    0.000    0.000    0.094    0.047 connection.py:1(<module>)
99    0.002    0.000    0.094    0.001 _distn_infrastructure.py:691(_construct_doc)
104    0.058    0.001    0.092    0.001 category_explorer.py:157(<listcomp>)
1    0.000    0.000    0.091    0.091 array.py:3(<module>)
1    0.000    0.000    0.091    0.091 ctypeslib.py:51(<module>)
2    0.000    0.000    0.090    0.045 data.py:7(<module>)
205    0.035    0.000    0.089    0.000 doccer.py:12(docformat)
1    0.000    0.000    0.086    0.086 compat.py:9(<module>)
10    0.000    0.000    0.085    0.009 util.py:215(accuracy_score)
1    0.000    0.000    0.085    0.085 __init__.py:85(<module>)
1    0.000    0.000    0.085    0.085 shutil.py:5(<module>)
1    0.000    0.000    0.084    0.084 __init__.py:29(<module>)
34703    0.052    0.000    0.083    0.000 _collections_abc.py:441(items)
104    0.021    0.000    0.083    0.001 search_space.py:108(<listcomp>)
1    0.000    0.000    0.082    0.082 compressed.py:1(<module>)
286/283    0.002    0.000    0.082    0.000 sre_parse.py:738(parse)
1    0.000    0.000    0.081    0.081 __init__.py:943(rc_params)
1    0.000    0.000    0.081    0.081 interpolate.py:2(<module>)
102    0.000    0.000    0.080    0.001 numeric.py:1681(array_str)
102    0.001    0.000    0.080    0.001 arrayprint.py:343(array2string)
1    0.000    0.000    0.079    0.079 index_tricks.py:1(<module>)
215247/215238    0.077    0.000    0.079    0.000 {method 'join' of 'str' objects}
1    0.000    0.000    0.079    0.079 data.py:32(<module>)
