         9617420 function calls (9313603 primitive calls) in 22.809 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  266/263    0.002    0.000    0.077    0.000 sre_parse.py:738(parse)
      205    0.029    0.000    0.076    0.000 doccer.py:12(docformat)
        2    0.000    0.000    0.075    0.038 index.py:2(<module>)
        1    0.000    0.000    0.074    0.074 expr.py:2(<module>)
  762/266    0.003    0.000    0.072    0.000 sre_parse.py:351(_parse_sub)
      103    0.000    0.000    0.072    0.001 numeric.py:1681(array_str)
      103    0.001    0.000    0.072    0.001 arrayprint.py:343(array2string)
        1    0.000    0.000    0.072    0.072 compat.py:5(<module>)
  934/299    0.022    0.000    0.071    0.000 sre_parse.py:429(_parse)
      103    0.003    0.000    0.071    0.001 arrayprint.py:233(_array2string)
        1    0.000    0.000    0.070    0.070 __init__.py:943(rc_params)
        3    0.000    0.000    0.069    0.023 base.py:3(<module>)
        1    0.000    0.000    0.069    0.069 stochastic_gradient.py:5(<module>)
      105    0.014    0.000    0.069    0.001 search_space.py:108(<listcomp>)
    22983    0.030    0.000    0.068    0.000 search.py:85(_trim_to_size)
        1    0.000    0.000    0.068    0.068 __init__.py:24(<module>)
    95059    0.068    0.000    0.068    0.000 {built-in method unpack}
        1    0.000    0.000    0.067    0.067 frequencies.py:1(<module>)
        1    0.000    0.000    0.066    0.066 gbq.py:1(<module>)
    18045    0.011    0.000    0.065    0.000 dbpedia.py:67(to_title)
        3    0.000    0.000    0.065    0.022 __init__.py:10(<module>)
    23046    0.038    0.000    0.064    0.000 util.py:132(jaccard_sim)
        1    0.000    0.000    0.061    0.061 __init__.py:2(<module>)
        1    0.000    0.000    0.061    0.061 parsers.py:3(<module>)
        1    0.000    0.000    0.059    0.059 ops.py:5(<module>)
        1    0.000    0.000    0.059    0.059 transforms.py:30(<module>)
    24071    0.044    0.000    0.059    0.000 category_explorer.py:247(normalized_graph_size)
    46092    0.023    0.000    0.059    0.000 util.py:123(cheap_tokenize)
       20    0.000    0.000    0.058    0.003 metrics.py:1316(f1_score)
       20    0.000    0.000    0.058    0.003 metrics.py:1401(fbeta_score)
       20    0.007    0.000    0.058    0.003 metrics.py:1543(precision_recall_fscore_support)
        1    0.000    0.000    0.056    0.056 iterative.py:1(<module>)
        1    0.000    0.000    0.055    0.055 zipfile.py:5(<module>)
    23968    0.055    0.000    0.055    0.000 search_space.py:76(__init__)
        1    0.014    0.014    0.055    0.055 malt.py:8(<module>)
260245/259142    0.054    0.000    0.054    0.000 {built-in method len}
        1    0.000    0.000    0.054    0.054 compat.py:9(<module>)
        1    0.000    0.000    0.053    0.053 certs.py:13(<module>)
        2    0.000    0.000    0.052    0.026 interface.py:1(<module>)
        2    0.000    0.000    0.051    0.026 __init__.py:38(<module>)
        1    0.000    0.000    0.051    0.051 __init__.py:97(<module>)
        1    0.000    0.000    0.050    0.050 _internal.py:6(<module>)
     3663    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap>:68(_path_stat)
        1    0.000    0.000    0.050    0.050 __init__.py:16(<module>)
        1    0.000    0.000    0.050    0.050 rcsetup.py:15(<module>)
        1    0.000    0.000    0.050    0.050 csv.py:4(<module>)
        1    0.000    0.000    0.049    0.049 _minimize.py:8(<module>)
     3803    0.048    0.000    0.048    0.000 {built-in method stat}
        1    0.000    0.000    0.048    0.048 case.py:1(<module>)
        1    0.000    0.000    0.047    0.047 decoder.py:2(<module>)
        1    0.000    0.000    0.046    0.046 scanner.py:2(<module>)
        1    0.000    0.000    0.045    0.045 fitpack.py:23(<module>)
      105    0.000    0.000    0.045    0.000 category_explorer.py:67(candidate_nodes)
        4    0.045    0.011    0.045    0.011 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.044    0.044 __init__.py:65(<module>)
      105    0.000    0.000    0.044    0.000 dictionary.py:70(items)
    46092    0.044    0.000    0.044    0.000 util.py:137(<listcomp>)
      105    0.005    0.000    0.044    0.000 dictionary.py:72(<listcomp>)
      263    0.001    0.000    0.044    0.000 sre_compile.py:445(_code)
        1    0.000    0.000    0.043    0.043 __init__.py:1055(rc_params_from_file)
        1    0.000    0.000    0.043    0.043 cElementTree.py:3(<module>)
       22    0.000    0.000    0.042    0.002 getlimits.py:93(__new__)
        1    0.000    0.000    0.042    0.042 decomp_schur.py:1(<module>)
        2    0.000    0.000    0.042    0.021 getlimits.py:126(_init)
        2    0.000    0.000    0.042    0.021 machar.py:97(__init__)
        2    0.024    0.012    0.042    0.021 machar.py:113(_do_init)
        1    0.000    0.000    0.042    0.042 ElementTree.py:34(<module>)
        1    0.000    0.000    0.042    0.042 main.py:1(<module>)
        1    0.000    0.000    0.041    0.041 pickle.py:24(<module>)
        1    0.000    0.000    0.041    0.041 inspect.py:27(<module>)
        1    0.000    0.000    0.041    0.041 pkg_resources.py:748(subscribe)
       27    0.000    0.000    0.041    0.002 pkg_resources.py:2892(<lambda>)
       27    0.000    0.000    0.041    0.002 pkg_resources.py:2412(activate)
      302    0.000    0.000    0.041    0.000 category_explorer.py:370(goal_test)
        1    0.019    0.019    0.041    0.041 __init__.py:988(_rc_params_in_file)
   240202    0.040    0.000    0.040    0.000 features.py:34(name)
      100    0.004    0.000    0.040    0.000 category_explorer.py:109(next)
    18045    0.011    0.000    0.040    0.000 dbpedia.py:49(uri_to_title)
        1    0.000    0.000    0.040    0.040 __init__.py:19(<module>)
    24185    0.024    0.000    0.040    0.000 _collections_abc.py:441(items)
      759    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap>:1099(create)
        1    0.000    0.000    0.039    0.039 series.py:114(__init__)
        1    0.000    0.000    0.039    0.039 internals.py:3369(__init__)
      105    0.018    0.000    0.039    0.000 category_explorer.py:157(<listcomp>)
        1    0.000    0.000    0.039    0.039 internals.py:2094(make_block)
        1    0.000    0.000    0.039    0.039 internals.py:63(__init__)
74097/29217    0.039    0.000    0.039    0.000 lookuptree.py:7(__iter__)
        1    0.000    0.000    0.039    0.039 __init__.py:22(<module>)
    49215    0.039    0.000    0.039    0.000 {method 'split' of 'str' objects}
    14076    0.014    0.000    0.038    0.000 {built-in method hasattr}
     8294    0.014    0.000    0.037    0.000 <frozen importlib._bootstrap>:50(_path_join)
       29    0.000    0.000    0.037    0.001 pkg_resources.py:2407(_get_metadata)
        1    0.000    0.000    0.036    0.036 pkg_resources.py:1408(get_metadata_lines)
        1    0.000    0.000    0.036    0.036 pkg_resources.py:1403(get_metadata)
        1    0.021    0.021    0.036    0.036 pkg_resources.py:1511(_get)
   245158    0.035    0.000    0.035    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.035    0.035 lapack.py:201(<module>)
        1    0.000    0.000    0.035    0.035 numerictypes.py:82(<module>)
    11441    0.024    0.000    0.035    0.000 heapq.py:390(nsmallest)
        1    0.000    0.000    0.035    0.035 util.py:28(_find_getch)
       99    0.002    0.000    0.035    0.000 _distn_infrastructure.py:615(_construct_argparser)
      309    0.001    0.000    0.034    0.000 arrayprint.py:533(__init__)
        1    0.000    0.000    0.034    0.034 excel.py:3(<module>)
        1    0.000    0.000    0.034    0.034 lil.py:2(<module>)
        1    0.000    0.000    0.034    0.034 random.py:37(<module>)
        1    0.000    0.000    0.033    0.033 odepack.py:2(<module>)
      309    0.012    0.000    0.033    0.000 arrayprint.py:547(fillFormat)
        1    0.000    0.000    0.033    0.033 uuid.py:45(<module>)
        1    0.000    0.000    0.032    0.032 matfuncs.py:5(<module>)
   120044    0.032    0.000    0.032    0.000 category_explorer.py:106(node)
        1    0.000    0.000    0.032    0.032 <frozen importlib._bootstrap>:1636(_cache_bytecode)
        1    0.000    0.000    0.032    0.032 <frozen importlib._bootstrap>:1641(set_data)
        1    0.000    0.000    0.032    0.032 <frozen importlib._bootstrap>:99(_write_atomic)
      317    0.004    0.000    0.032    0.000 inspect.py:937(getfullargspec)
      308    0.001    0.000    0.031    0.000 inspect.py:913(getargspec)
        2    0.000    0.000    0.031    0.016 request.py:1(<module>)
        1    0.000    0.000    0.031    0.031 plistlib.py:47(<module>)
        1    0.000    0.000    0.031    0.031 validation.py:1(<module>)
      759    0.009    0.000    0.031    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
 1707/263    0.012    0.000    0.030    0.000 sre_compile.py:33(_compile)
        1    0.000    0.000    0.030    0.030 filepost.py:1(<module>)
        1    0.000    0.000    0.030    0.030 fixes.py:5(<module>)
        1    0.000    0.000    0.029    0.029 fields.py:1(<module>)
      592    0.002    0.000    0.029    0.000 wikiapi.py:211(_compute_children)
      765    0.003    0.000    0.029    0.000 dictionary.py:15(assoc)
      4/2    0.000    0.000    0.028    0.014 compressed.py:24(__init__)
      759    0.023    0.000    0.028    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
       14    0.028    0.002    0.028    0.002 {built-in method sum}
        1    0.000    0.000    0.028    0.028 _ode.py:39(<module>)
        3    0.028    0.009    0.028    0.009 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.028    0.028 base.py:195(asformat)
        1    0.000    0.000    0.028    0.028 coo.py:320(tocsr)
        1    0.000    0.000    0.028    0.028 __init__.py:52(<module>)
      592    0.002    0.000    0.027    0.000 wikiapi.py:205(_compute_parents)
        1    0.027    0.027    0.027    0.027 {built-in method coo_tocsr}
        2    0.027    0.014    0.027    0.014 {built-in method utcfromtimestamp}
    11872    0.006    0.000    0.027    0.000 sre_parse.py:208(get)
        1    0.000    0.000    0.027    0.027 __init__.py:724(matplotlib_fname)
