         132940896 function calls (127617902 primitive calls) in 109.848 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011  108.774  108.774 category_explorer.py:367(run_selection_procedure)
     1019    0.010    0.000    0.132    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
     6176    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
 1707/263    0.010    0.000    0.026    0.000 sre_compile.py:33(_compile)
     2925    0.010    0.000    0.125    0.000 dictionary.py:15(assoc)
     8305    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
      759    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
    36605    0.010    0.000    0.010    0.000 {method 'rstrip' of 'str' objects}
     3558    0.010    0.000    0.037    0.000 db.py:187(__getitem__)
     1004    0.010    0.000    0.029    0.000 arrayprint.py:579(<listcomp>)
     1342    0.010    0.000    0.031    0.000 _collections_abc.py:581(update)
      499    0.009    0.000    0.052    0.000 features.py:132(value_map)
      205    0.009    0.000    0.015    0.000 doccer.py:128(indentcount_lines)
     5851    0.009    0.000    0.016    0.000 lookuptree.py:22(__init__)
   1076/2    0.009    0.000    1.073    0.536 <frozen importlib._bootstrap>:2234(_find_and_load)
        1    0.008    0.008  109.855  109.855 experiment.py:24(<module>)
    10252    0.008    0.000    0.008    0.000 {built-in method seterrobj}
16539/16530    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
     1906    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
     1051    0.008    0.000    0.008    0.000 {built-in method print}
     2925    0.008    0.000    0.085    0.000 lookuptree.py:54(assoc)
        2    0.008    0.004    0.024    0.012 machar.py:113(_do_init)
      759    0.007    0.000    0.208    0.000 <frozen importlib._bootstrap>:1534(get_code)
   1076/2    0.007    0.000    1.072    0.536 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
      100    0.007    0.000    0.106    0.001 metrics.py:1543(precision_recall_fscore_support)
     1600    0.007    0.000    0.007    0.000 {built-in method concatenate}
     5125    0.007    0.000    0.033    0.000 numeric.py:2818(__exit__)
      500    0.007    0.000  107.214    0.214 learning_search.py:456(step)
      113    0.007    0.000    0.007    0.000 {built-in method listdir}
     5125    0.007    0.000    0.040    0.000 numeric.py:2813(__enter__)
